Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
17.01.2022,327.81,335.9,338.95,319.17,96.95M,-2.37%
18.01.2022,301.11,329.11,329.3,296.7,220.12M,-8.14%
19.01.2022,318.36,299.0,320.42,282.72,220.09M,5.73%
20.01.2022,310.42,318.4,326.69,310.07,130.27M,-2.49%
21.01.2022,311.6,309.49,321.99,303.5,119.14M,0.38%
24.01.2022,294.59,310.8,314.0,280.6,236.55M,-5.46%
25.01.2022,302.96,293.94,305.0,289.62,143.19M,2.84%
26.01.2022,299.6,302.9,307.7,293.7,125.08M,-1.11%
27.01.2022,325.25,296.93,330.0,294.0,216.08M,8.56%
28.01.2022,329.58,325.5,334.9,322.05,116.24M,1.33%
31.01.2022,334.8,330.9,336.41,330.52,69.92M,1.58%
01.02.2022,330.95,334.95,336.63,325.3,68.01M,-1.15%
02.02.2022,331.7,332.39,333.7,325.7,54.76M,0.23%
03.02.2022,323.75,330.0,331.0,322.3,57.60M,-2.40%
04.02.2022,324.6,325.5,334.5,320.88,88.66M,0.26%
07.02.2022,321.25,324.51,327.44,316.64,56.31M,-1.03%
08.02.2022,331.7,321.45,331.87,319.0,77.97M,3.25%
09.02.2022,335.08,332.3,336.0,330.18,63.27M,1.02%
10.02.2022,328.93,335.41,335.47,328.1,61.93M,-1.84%
11.02.2022,318.1,328.97,328.97,316.2,100.77M,-3.29%
14.02.2022,321.85,314.1,324.9,303.25,121.32M,1.18%
15.02.2022,333.6,322.43,335.5,322.43,96.88M,3.65%
16.02.2022,336.5,335.86,339.98,331.62,77.19M,0.87%
17.02.2022,323.51,336.37,336.37,322.04,102.16M,-3.86%
18.02.2022,309.48,325.51,329.32,306.7,125.47M,-4.34%
21.02.2022,257.3,309.48,318.9,241.0,413.31M,-16.86%
22.02.2022,283.51,253.95,284.07,246.7,324.95M,10.19%
24.02.2022,210.0,255.02,255.02,126.53,414.02M,-25.93%
25.02.2022,228.0,208.01,244.94,191.6,211.88M,8.57%
24.03.2022,258.51,251.41,278.9,232.0,85.87M,13.38%
25.03.2022,227.0,263.99,269.33,225.6,67.38M,-12.19%
28.03.2022,218.6,225.0,229.45,213.03,25.25M,-3.70%
29.03.2022,208.0,220.0,226.0,206.0,40.38M,-4.85%
30.03.2022,216.0,211.0,219.41,210.52,38.68M,3.85%
31.03.2022,242.48,218.98,249.0,217.1,84.08M,12.26%
01.04.2022,251.4,245.9,258.7,242.48,50.67M,3.68%
04.04.2022,252.9,254.03,259.99,237.31,41.06M,0.60%
05.04.2022,243.5,254.0,256.39,231.45,39.97M,-3.72%
06.04.2022,239.7,238.41,247.8,234.41,20.60M,-1.56%
07.04.2022,245.0,240.04,246.8,239.13,22.42M,2.21%
08.04.2022,241.07,246.79,246.79,240.0,14.85M,-1.60%
11.04.2022,234.55,241.9,242.78,234.16,15.68M,-2.70%
12.04.2022,236.3,234.0,236.63,223.0,26.68M,0.75%
13.04.2022,234.87,238.0,239.64,232.13,12.70M,-0.61%
14.04.2022,222.11,235.0,235.5,221.1,21.96M,-5.43%
15.04.2022,224.0,222.0,226.65,215.74,19.98M,0.85%
18.04.2022,216.99,224.1,226.0,216.6,15.63M,-3.13%
19.04.2022,220.72,216.9,222.0,207.0,30.71M,1.72%
20.04.2022,218.92,221.43,229.84,215.63,33.62M,-0.82%
21.04.2022,210.29,220.0,221.0,210.29,24.33M,-3.94%
22.04.2022,208.0,210.5,215.0,207.01,28.81M,-1.09%
25.04.2022,206.35,209.95,209.95,201.12,18.86M,-0.79%
26.04.2022,225.85,207.97,229.74,206.54,46.55M,9.45%
